48	3
0,17.685,39.957
1,-29.719,30.41,28,150,6
2,-14.698,-16.588,20,150,9
3,-33.29,27.935,26,150,6
1,49.216,8.268,200,1440,1320,19,2,4,2
2,-0.419,47.535,90,34800,4970,56,2,5,8
3,44.269,22.005,90,15660,7400,53,1,3,7
4,-25.538,23.476,90,10440,2980,57,1,4,8
5,-1.229,0.953,160,16020,15130,99,1,5,14
6,37.429,32.36,210,4560,860,124,1,3,18
7,3.232,11.656,200,33840,5640,61,1,5,9
8,-15.004,-47.029,280,5880,3680,47,1,3,7
9,15.04,0.614,120,18000,8000,71,2,3,10
10,-36.56,20.682,280,72000,12000,98,1,5,14
11,15.89,-26.721,180,25440,11310,106,1,3,15
12,-22.705,34.34,210,7920,3960,104,1,4,15
13,31.977,21.689,280,13020,2710,19,1,4,2
14,-29.61,-29.228,80,41760,6960,50,1,5,7
15,29.978,-4.819,190,9360,3120,115,1,3,17
16,-12.45,48.048,280,21240,5900,97,1,4,14
17,-38.146,32.213,360,28080,21060,220,1,5,33
18,20.512,-44.062,160,18900,15750,94,1,5,14
19,-10.697,-12.819,110,19080,5830,65,2,3,9
20,-39.82,-25.603,170,21840,14800,102,1,4,15
21,33.86,-36.565,190,37440,4680,54,1,3,8
22,-47.131,9.017,230,25920,10370,114,1,4,17
23,14.026,-13.324,160,20640,13990,97,2,4,14
24,44.404,-22.947,280,13800,12650,122,1,3,18
25,-8.759,11.062,190,64800,9180,112,1,5,16
26,19.357,29.202,160,19440,12960,96,1,3,14
27,-11.172,-35.548,210,13020,9770,97,1,5,14
28,1.499,-49.12,210,13440,11200,129,2,4,19
29,22.375,43.279,80,25380,4230,48,1,4,7
30,-11.375,28.703,100,21960,7840,62,1,5,9
31,-0.579,34.687,110,34200,5510,66,1,5,9
32,3.253,-34.376,140,13800,13800,84,2,3,12
33,-48.594,-11.121,70,6120,5610,40,1,4,6
34,49.655,-5.008,210,9480,7110,63,1,4,9
35,-35.503,-2.013,210,6000,1800,12,1,3,1
36,1.287,-14.537,60,12240,3500,39,1,5,5
37,-19.225,-0.265,110,23400,10400,69,1,5,10
38,32.357,6.143,110,15480,6630,67,1,5,10
39,20.012,11.055,190,30240,11340,96,1,4,14
40,-30.168,-12.774,240,36720,20400,148,1,3,22
41,-0.095,23.107,130,31680,10560,77,1,5,11
42,12.258,47.571,190,17040,16090,114,1,4,17
43,-20.164,-19.069,110,37080,8650,64,2,5,9
44,-29.94,8.001,180,38400,14080,108,2,4,16
45,-28.588,-39.468,140,30240,11760,82,1,4,12
46,30.298,-24.142,80,15840,6340,47,1,4,7
47,12.524,20.332,40,20640,3330,23,1,3,3
48,32.043,38.027,140,36000,13200,82,1,5,12
